contents,aug,contentsId,likecount,showTime,tv_name,uid,context,aug_context,label2,label7
太平天国洪秀全,太平天国的洪秀全,2020/6/25 2:52,129,1070,9,1839386288,洪世贤是你吗哈；得张东升得毙四次了；他不是姓王吗；一下回到解放前,洪世贤，是你吗，哈；张东生已经被杀了四次；他不是姓王吗；回到解放前,2,7
小女孩一眼就看穿了,小女孩一眼就看穿了,2020/6/21 4:59,7,2266,0,2073868991,这小伙子真实的聪明；看他们有没有私自用东西；真怕他没有戒备；高能要来了,这个年轻人真聪明；看看他们是否有自己的东西；恐怕他没有戒备；高能量即将到来,1,1
这孩子活的太小心翼了,这孩子生活太谨慎了,2020/6/25 22:27,23,2475,0,6.08E+14,跟高虎长得太像了吧；带上成绩单意思是我能把孩子带好；怎么这么多重点要画要考的；妈对他很好了,你看起来太像高虎了，不是吗；带上你的成绩单，这意味着我可以照顾我的孩子；为什么有这么多的关键点要画和参加考试；妈妈对他很好,1,3
孩子变这样都是父母的责任,父母有责任这样改变他们的孩子,2020/6/18 21:21,62,3163,5,1558157328,怎么这么真实完全没有表演痕迹；不会喝酒但可以带你去爬山；你别打我奶呀；爸还挺白,怎么会这么真实？没有表现的痕迹；我不会喝酒，但我可以带你去爬山；别打我；爸爸很白,1,3
第一次花钱看剧,这是我第一次为一部戏付钱,2020/6/24 23:41,13,12,10,1708531508,停不下来看了个通宵；燃烧我还以为我点错剧了；俺是有钱人；朱永平和王遥没死啊,我整晚都在看；燃烧：我以为我订错了剧本；我是个有钱人；朱永平和王瑶没有死,2,7
普有哮喘猫毛不会诱发吗,Pu：猫毛能诱发哮喘吗,2020/6/19 20:37,93,1582,9,2059891148,这个剧要看好几遍才过瘾；那时候房子没那么值钱；发烧了要隔离；叔带你们爬山游泳,这出戏你得看几遍才能欣赏；那时候，房子并不那么值钱；我发烧了。我需要隔离；叔叔会带你去爬山和游泳,1,2
这话说了好多次了,这已经说过很多次了,2020/6/25 2:22,7,595,6,1653347182,您有一份新的杀了吗订单请及时签收；交什么朋友很重要；想到是两个主角就没那么害怕了；秦昊适合演这类型角色呀,你们有新订单吗？请及时签字；交朋友很重要；当我想到两个主角时，我并不害怕；秦昊适合这种角色,1,2
这脸变得比翻书都快,这张脸比翻书还快,2020/6/24 15:36,112,1551,7,2325318096,他是来买视频的；变脸好快呀；还有机会吗想好了吗都是死亡预警；好镇定啊,他是来买录像带的；你变脸的速度有多快；还有机会吗？你明白了吗？都是死亡警告；多么平静,1,2
校园暴力旁观者都是帮凶,校园暴力：旁观者是同谋,2020/6/21 13:54,43,341,0,1792797012,学习好怎么还受欺负；腿好细好白好长好直；推父母那一瞬间有点头皮发麻；没有一个学生是无辜的,如果你学习不好，怎么会被欺负；腿又细又白又长又直；当我推我父母的时候，我感到有点麻木；没有学生是无辜的,1,3
郭鑫年你是不是死了,郭新年，你死了吗,2020/6/21 1:37,12,1978,5,1034461640,他爸不想见他；告诉他不就行了为什么瞒着人总要接受现实啊；包子不吃别乱扔啊；其实很多事还是讲明真相的好,他父亲不想见他；告诉他不要。为什么我们总是不告诉别人就接受现实；包子不吃就不要扔掉；事实上，对很多事情说实话更好,1,3
再哭就带你去爬山,如果你再哭，我就带你去爬山,2020/6/25 14:55,18,2679,3,1629030858,这样的剧情看着才过瘾啊；这孩子除了哭还是哭；小女孩哭戏不错；哈这个宝好可爱,这样的情节很好看；这孩子除了哭之外还哭；小女孩哭了。这出戏演得很好；哈，这宝贝真可爱,1,1
不吃了带你们去爬山,不，我带你去爬山,2020/6/28 15:26,79,1023,0,1688189361,严良在这部剧里不演严良了；我家附近有个张东升鸡铺老好吃；去带你去爬山；无证之罪也是秦昊演的,严亮不会在这部戏里扮演严亮；我家附近有一家张东生鸡肉店。很好吃；我带你去爬山；没有证据的犯罪也由秦浩实施,1,1
朱晶长得好像她妈,朱静看起来像她的妈妈,2020/6/18 15:15,172,1329,3,1516147883,这不是阳间的音乐；放点阳间背景音效啊；这背景音乐很不错；整这音乐太多了吧,这不是太阳的音乐；在阳光下放置一些背景音效；背景音乐非常好；音乐太多了,1,3
主要是为了钱,主要是为了钱,2020/6/23 21:21,4,485,8,1486491457,王瑶弟真的是亡命之徒；让舅领盒饭吧期待王瑶表情；变声期破音了；说喉咙里有哨子的让爷笑出来了,王耀棣真是个亡命之徒；让我叔叔吃盒饭。我期待着王瑶的表情；变声期结束了；那个说他喉咙里有口哨的人让我笑了,1,1
苏醒了猎杀时刻,醒来，狩猎时间,2020/6/19 22:22,481,1447,10,1594210473,剧情走向越来越迷了哇；张老师是个实在人；这么危险不知道先放静音的吗；哈笑死我了一个屠夫绑了四个,我越来越被剧情的趋势所吸引；张先生是一个真正的人；太危险了。你不知道先把它静音吗；哈，我太高兴了。一个屠夫绑了四个,1,2
要出事了,有什么事要发生了,2020/6/20 12:22,41,1116,6,1648436217,家产都是你的了三十万不算什么吧；你要人家三十万要命哦；台词有戏；细节好有利息,家庭财产是你的。30万算不了什么，不是吗；你想让30万人死去；台词中有戏剧性；好的细节和兴趣,1,3
超市老板你们在聊什么,超市老板：你在说什么,2020/7/14 4:54,1,772,5,1612124056,这几个孩子作死啊；他们压力都太大了；缓打出一个；公共电话老板破案了,这些孩子快死了；他们压力太大了；慢的；公用电话老板解决了这个案子,1,1
你也只会对儿子横,你只能对你儿子无礼,2020/6/22 8:48,65,1220,8,1746420777,她妈讲话一点都不硬气；大娘子你就算了吧话都没啥威慑力；总是说不放过你又做了什么；这不已经有三长两短了,她妈妈说话一点也不硬；别忘了，夫人。言语没有威慑作用；当你总是说“不”时，你做了什么；这已经是很长时间了,1,3
你們來得好快聰明,你又快又聪明,2020/6/23 11:26,1,1806,6,1428437742,本来这孩子啥事没有；我觉得严良是个好孩子呀；还是喝牛奶的孩子聪明；注意这只笔要考的,最初，孩子什么也没发生；我认为严亮是个好孩子；还是喝牛奶的孩子更聪明；注：这支笔是检查用的,1,1
马上变了个人,一个人马上变了,2020/6/17 21:05,53,2019,3,1076490596,普太犀利了；这个问题有点尖锐湿疣；你别严肃你一严肃我就害怕；这才是孩子单纯,普：太锋利了；这个问题有点尖锐湿疣；别当真。我怕你是认真的；这是一个孩子的天真,1,2
找他一点用也没有,找他没用,2020/6/20 18:24,92,1170,4,2479554709,没有意识到自己做错了什么；前妻什么都能忍唯独儿子的事不能忍；易烊千玺；这对孩子的伤害得多大,没有意识到他做错了什么；我前妻能忍受任何事，除了我儿子；易杰克森；这对孩子们有多大伤害,1,3
感觉有点像周迅啊,我觉得有点像周迅,2020/6/21 19:25,82,3303,5,7.53E+14,还有九分钟能死么；我还有机会吗死亡警告；珍惜吧这是你最后的时间了；为什么那么厌恶,我能在九分钟内死去吗；我还有机会吗？死亡警告；珍惜它。这是你最后一次了；为什么这么恶心,1,5
严良你让我说你什么好,严亮，你想让我对你说什么,2020/6/26 12:33,51,1406,10,1581773494,我就知道电话一定响；你说清楚啊报警啊；严良真的祸害；我去还真没静音,我知道电话会响；说清楚。报警；颜良珍之灾；我去的时候真的没有静音,1,3
确实是上西天了,它真的要去西部,2020/6/20 22:30,198,3549,5,2469519163,小白船又送走一个；转场太牛了；此歌一出盒饭必热；这剧不火天理难容,白色的小船把另一只送走了；改变场景真是太好了；这首歌一发行，盒饭就会很热；这出戏不受欢迎，上天很难原谅它,1,2
第一次觉得这个歌瘆人,我第一次觉得这首歌很恐怖,2020/6/30 19:31,4,4444,0,22943557,小娟唱民谣太好听了；突然感觉这歌好诡异；看不出来是推的；片尾曲爱了,小娟唱一首民歌。听起来好棒；我突然觉得这首歌很奇怪；我看不出是谁推的；结尾曲“我爱你”,1,6
普太可爱了,普：太可爱了,2020/6/23 20:56,20,1681,0,1388735320,小朋友演的好啊；普长得真可爱；小朋友演技好啊；这演技也太好了吧,孩子们，表演多好；浦太可爱了；儿童，良好的演技；这个表演也很好，不是吗,1,4
还好他想活要不然就玩儿,幸运的是，他想活下去，否则他会玩,2020/6/19 12:12,11,1932,3,5.52E+14,陆柯燃保护我；特别的爱送特别的你；谭松韵保护我；坤保护我,卢可染，保护我；对你的特别爱；谭松云保护我；坤，保护我,1,3
这给这个孩子热的,这对这个孩子来说很热,2020/6/25 18:50,18,2098,1,1685596127,不要说；细节处理到位表情管理很好；这汗水演的太厉害了；太厉害了这汗水,别说；细节处理得很到位，表情管理很好；这汗太厉害了；太棒了。这汗,1,1
先拖着找机会在把你们宰了,等你有机会杀了你,2020/6/24 19:51,91,2208,3,2012267678,总感觉谋杀案不是那么简单；这么长时间也够杀三个了；欣能等到那个时间吗；两个多月差不多,我总觉得谋杀不是那么简单；足够杀死三个人了；辛，你能等到那个时候吗；两个多月了，差不多,1,3
严良属实莽夫无脑代表,颜亮是“无脑人”的真正代表,2020/6/19 3:00,249,299,10,1637068762,学霸借张手杀小伙伴；这严良就是个憨；智商是个好东西；普已经死了吧,薛巴用手杀死了他的朋友；颜亮是个傻瓜；智商是一件好事；普死了，不是吗,1,1
他本来是名好老师他本应是名好少年,他是一位好老师。他应该是个好孩子,2020/6/19 22:55,138,2251,5,1607797437,他两是同类人；相信别人是要付出代价的记住这句话；这两个人太像了吧；我两个都不信啊,他和我是同类；你必须为信任他人付出代价。记住这句话；这两个人很相像，不是吗；我也不相信,1,1
这假发质量太好了怎么折腾都掉不了,这种假发的质量非常好，翻来覆去都不会掉下来,2020/6/27 10:36,2,1370,1,1279035213,严良也太了吧；怎么坟头的草都这么高了；他把药拿出来了；一死两个你狗够绝的,颜亮太好了；为什么坟墓上的草这么高；他取出了药；两个死了，你是条狗,1,1
大娘子演技太好了拿奖啊,大小姐，你的演技很棒。领奖,2020/6/22 1:04,95,1054,5,1446255604,男人一有事就试出来了；春红演技确实很棒；她自己问题也大啊；不错及时止损,当一个人有事情要做时，他会尝试；春红的演技真的很棒；她自己也有很大的问题；很好，及时止损,1,4
张老师疯了,张老师疯了,2020/6/20 22:11,7,1168,10,1342112470,真的是薛定谔的欣；目前已经死了个人了；这是要准备九头案啊；千里送人头,这真是薛定谔的喜悦；目前有三人死亡；这是为酒头案做准备；千里之外,1,3
要发现他儿子了,是时候去找他的儿子了,2020/6/22 22:47,5,2831,3,1231888093,真的像阿沁；监控演的不错；呕吼被发现了；女人长得不错,真的很喜欢阿金吗；监测性能良好；欧侯被发现了；女人看起来不错,1,2
你们在放什么屁,你在放屁吗,2020/6/21 3:00,22,1819,11,1779401824,如果这是现实就好了；我们可以相信童话；很明显是活着啊真事的；感觉从头到尾张东升最可怜,如果这是现实就好了；我们可以相信童话故事；它显然是活着的。这是真的；我觉得张东生自始至终都是最可怜的,1,3
张老师还是有良知只是他有他的底线自尊,张先生仍然有良心，但他有自己的底线和自尊,2020/6/19 21:47,17,1961,8,1277207350,张东升是一个心理扭曲的人；张东升没想杀几个孩子；感觉没那么简单；升子很诚信,张东生是一个心理扭曲的人；张东生不想杀几个孩子；不是那么简单；圣子很诚实,1,3
